Hour,Node,Demand_kWh,Loss_Percentage,Storage_Capacity_kWh,Source,Supply_kWh,Cost_per_kWh
18,Node_17,96,6.36,148,Wind,410,0.17
18,Node_17,96,6.36,148,Hydro,417,0.17
18,Node_18,191,9.84,131,Solar,448,0.11
18,Node_18,191,9.84,131,Wind,431,0.17
18,Node_18,191,9.84,131,Hydro,497,0.17
18,Node_19,173,3.82,490,Solar,425,0.11
18,Node_19,173,3.82,490,Wind,319,0.17
18,Node_19,173,3.82,490,Hydro,350,0.17
18,Node_2,90,5.96,197,Solar,537,0.11
18,Node_2,90,5.96,197,Wind,323,0.17
18,Node_2,90,5.96,197,Hydro,544,0.17
18,Node_20,194,5.23,376,Solar,434,0.11
18,Node_20,194,5.23,376,Wind,526,0.17
18,Node_20,194,5.23,376,Hydro,334,0.17
18,Node_21,66,6.34,119,Solar,450,0.11
18,Node_21,66,6.34,119,Wind,453,0.17
18,Node_21,66,6.34,119,Hydro,368,0.17
18,Node_22,107,8.33,253,Solar,535,0.11
18,Node_22,107,8.33,253,Wind,592,0.17
18,Node_22,107,8.33,253,Hydro,348,0.17
18,Node_23,51,6.39,482,Solar,523,0.11
18,Node_23,51,6.39,482,Wind,529,0.17
18,Node_23,51,6.39,482,Hydro,373,0.17
18,Node_24,177,6.9,167,Solar,502,0.11
18,Node_24,177,6.9,167,Wind,501,0.17
18,Node_24,177,6.9,167,Hydro,491,0.17
18,Node_25,60,3.81,465,Solar,555,0.11
18,Node_25,60,3.81,465,Wind,337,0.17
18,Node_25,60,3.81,465,Hydro,560,0.17
18,Node_26,96,8.78,471,Solar,385,0.11
18,Node_26,96,8.78,471,Wind,559,0.17
18,Node_26,96,8.78,471,Hydro,369,0.17
18,Node_27,57,5.43,313,Solar,449,0.11
18,Node_27,57,5.43,313,Wind,487,0.17
18,Node_27,57,5.43,313,Hydro,389,0.17
18,Node_28,131,3.13,242,Solar,534,0.11
18,Node_28,131,3.13,242,Wind,356,0.17
18,Node_28,131,3.13,242,Hydro,559,0.17
18,Node_29,152,7.31,475,Solar,321,0.11
18,Node_29,152,7.31,475,Wind,319,0.17
18,Node_29,152,7.31,475,Hydro,425,0.17
18,Node_3,130,9.84,243,Solar,584,0.11
18,Node_3,130,9.84,243,Wind,572,0.17
18,Node_3,130,9.84,243,Hydro,530,0.17
18,Node_30,66,3.73,331,Solar,568,0.11
18,Node_30,66,3.73,331,Wind,418,0.17
18,Node_30,66,3.73,331,Hydro,594,0.17
18,Node_4,103,3.16,467,Solar,557,0.11
18,Node_4,103,3.16,467,Wind,370,0.17
18,Node_4,103,3.16,467,Hydro,428,0.17
18,Node_5,85,7.8,224,Solar,328,0.11
18,Node_5,85,7.8,224,Wind,303,0.17
18,Node_5,85,7.8,224,Hydro,579,0.17
18,Node_6,71,3.53,266,Solar,512,0.11
18,Node_6,71,3.53,266,Wind,520,0.17
18,Node_6,71,3.53,266,Hydro,399,0.17
18,Node_7,148,4.71,185,Solar,582,0.11
18,Node_7,148,4.71,185,Wind,313,0.17
18,Node_7,148,4.71,185,Hydro,596,0.17
18,Node_8,110,4.47,175,Solar,349,0.11
18,Node_8,110,4.47,175,Wind,302,0.17
18,Node_8,110,4.47,175,Hydro,481,0.17
18,Node_9,178,9.58,443,Solar,394,0.11
18,Node_9,178,9.58,443,Wind,515,0.17
18,Node_9,178,9.58,443,Hydro,473,0.17
19,Node_1,87,7.0,429,Solar,387,0.11
19,Node_1,87,7.0,429,Wind,528,0.17
19,Node_1,87,7.0,429,Hydro,487,0.17
19,Node_10,193,9.74,393,Solar,343,0.11
19,Node_10,193,9.74,393,Wind,485,0.17
19,Node_10,193,9.74,393,Hydro,356,0.17
19,Node_11,62,3.46,158,Solar,577,0.11
19,Node_11,62,3.46,158,Wind,354,0.17
19,Node_11,62,3.46,158,Hydro,330,0.17
19,Node_12,52,2.18,237,Solar,470,0.11
19,Node_12,52,2.18,237,Wind,553,0.17
19,Node_12,52,2.18,237,Hydro,383,0.17
19,Node_13,64,7.76,198,Solar,488,0.11
19,Node_13,64,7.76,198,Wind,323,0.17
19,Node_13,64,7.76,198,Hydro,451,0.17
19,Node_14,106,5.34,291,Solar,483,0.11
19,Node_14,106,5.34,291,Wind,461,0.17
19,Node_14,106,5.34,291,Hydro,335,0.17
19,Node_15,57,2.71,342,Solar,302,0.11
19,Node_15,57,2.71,342,Wind,457,0.17
19,Node_15,57,2.71,342,Hydro,512,0.17
19,Node_16,149,7.47,418,Solar,490,0.11
19,Node_16,149,7.47,418,Wind,381,0.17
19,Node_16,149,7.47,418,Hydro,405,0.17
19,Node_17,61,6.36,148,Solar,417,0.11
19,Node_17,61,6.36,148,Wind,458,0.17
19,Node_17,61,6.36,148,Hydro,519,0.17
19,Node_18,169,9.84,131,Solar,318,0.11
19,Node_18,169,9.84,131,Wind,487,0.17
19,Node_18,169,9.84,131,Hydro,462,0.17
19,Node_19,87,3.82,490,Solar,322,0.11
19,Node_19,87,3.82,490,Wind,359,0.17
19,Node_19,87,3.82,490,Hydro,519,0.17
19,Node_2,77,5.96,197,Solar,329,0.11
19,Node_2,77,5.96,197,Wind,510,0.17
19,Node_2,77,5.96,197,Hydro,569,0.17
19,Node_20,187,5.23,376,Solar,594,0.11
19,Node_20,187,5.23,376,Wind,451,0.17
19,Node_20,187,5.23,376,Hydro,419,0.17
19,Node_21,175,6.34,119,Solar,407,0.11
19,Node_21,175,6.34,119,Wind,408,0.17
19,Node_21,175,6.34,119,Hydro,481,0.17
19,Node_22,71,8.33,253,Solar,580,0.11
19,Node_22,71,8.33,253,Wind,375,0.17
19,Node_22,71,8.33,253,Hydro,405,0.17
19,Node_23,168,6.39,482,Solar,427,0.11
19,Node_23,168,6.39,482,Wind,329,0.17
19,Node_23,168,6.39,482,Hydro,516,0.17
19,Node_24,175,6.9,167,Solar,528,0.11
19,Node_24,175,6.9,167,Wind,416,0.17
19,Node_24,175,6.9,167,Hydro,504,0.17
19,Node_25,148,3.81,465,Solar,410,0.11
19,Node_25,148,3.81,465,Wind,491,0.17
19,Node_25,148,3.81,465,Hydro,369,0.17
19,Node_26,172,8.78,471,Solar,435,0.11
19,Node_26,172,8.78,471,Wind,318,0.17
19,Node_26,172,8.78,471,Hydro,343,0.17
19,Node_27,99,5.43,313,Solar,485,0.11
19,Node_27,99,5.43,313,Wind,472,0.17
19,Node_27,99,5.43,313,Hydro,527,0.17
19,Node_28,84,3.13,242,Solar,443,0.11
19,Node_28,84,3.13,242,Wind,527,0.17
19,Node_28,84,3.13,242,Hydro,483,0.17
19,Node_29,89,7.31,475,Solar,371,0.11
19,Node_29,89,7.31,475,Wind,482,0.17
19,Node_29,89,7.31,475,Hydro,406,0.17
19,Node_3,162,9.84,243,Solar,428,0.11
19,Node_3,162,9.84,243,Wind,412,0.17
19,Node_3,162,9.84,243,Hydro,383,0.17
19,Node_30,182,3.73,331,Solar,560,0.11
19,Node_30,182,3.73,331,Wind,482,0.17
19,Node_30,182,3.73,331,Hydro,549,0.17
19,Node_4,117,3.16,467,Solar,302,0.11
19,Node_4,117,3.16,467,Wind,445,0.17
19,Node_4,117,3.16,467,Hydro,320,0.17
19,Node_5,69,7.8,224,Solar,403,0.11
19,Node_5,69,7.8,224,Wind,415,0.17
19,Node_5,69,7.8,224,Hydro,495,0.17
19,Node_6,142,3.53,266,Solar,523,0.11
19,Node_6,142,3.53,266,Wind,412,0.17
19,Node_6,142,3.53,266,Hydro,477,0.17
19,Node_7,154,4.71,185,Solar,309,0.11
19,Node_7,154,4.71,185,Wind,550,0.17
19,Node_7,154,4.71,185,Hydro,306,0.17
19,Node_8,176,4.47,175,Solar,530,0.11
19,Node_8,176,4.47,175,Wind,550,0.17
19,Node_8,176,4.47,175,Hydro,369,0.17
19,Node_9,198,9.58,443,Solar,518,0.11
19,Node_9,198,9.58,443,Wind,417,0.17
19,Node_9,198,9.58,443,Hydro,426,0.17
20,Node_1,179,7.0,429,Solar,365,0.11
20,Node_1,179,7.0,429,Wind,460,0.17
20,Node_1,179,7.0,429,Hydro,459,0.17
20,Node_10,57,9.74,393,Solar,411,0.11
20,Node_10,57,9.74,393,Wind,497,0.17
20,Node_10,57,9.74,393,Hydro,547,0.17
20,Node_11,74,3.46,158,Solar,312,0.11
20,Node_11,74,3.46,158,Wind,559,0.17
20,Node_11,74,3.46,158,Hydro,502,0.17
20,Node_12,183,2.18,237,Solar,385,0.11
20,Node_12,183,2.18,237,Wind,447,0.17
20,Node_12,183,2.18,237,Hydro,447,0.17
20,Node_13,160,7.76,198,Solar,533,0.11
20,Node_13,160,7.76,198,Wind,539,0.17
20,Node_13,160,7.76,198,Hydro,442,0.17
20,Node_14,50,5.34,291,Solar,389,0.11
20,Node_14,50,5.34,291,Wind,346,0.17
20,Node_14,50,5.34,291,Hydro,498,0.17
20,Node_15,114,2.71,342,Solar,577,0.11
20,Node_15,114,2.71,342,Wind,353,0.17
20,Node_15,114,2.71,342,Hydro,497,0.17
20,Node_16,90,7.47,418,Solar,512,0.11
20,Node_16,90,7.47,418,Wind,311,0.17
20,Node_16,90,7.47,418,Hydro,346,0.17
20,Node_17,111,6.36,148,Solar,471,0.11
20,Node_17,111,6.36,148,Wind,508,0.17
20,Node_17,111,6.36,148,Hydro,377,0.17
20,Node_18,117,9.84,131,Solar,587,0.11
20,Node_18,117,9.84,131,Wind,313,0.17
20,Node_18,117,9.84,131,Hydro,423,0.17
20,Node_19,121,3.82,490,Solar,473,0.11
20,Node_19,121,3.82,490,Wind,420,0.17
20,Node_19,121,3.82,490,Hydro,374,0.17
20,Node_2,184,5.96,197,Solar,412,0.11
20,Node_2,184,5.96,197,Wind,319,0.17
20,Node_2,184,5.96,197,Hydro,436,0.17
20,Node_20,167,5.23,376,Solar,421,0.11
20,Node_20,167,5.23,376,Wind,374,0.17
20,Node_20,167,5.23,376,Hydro,389,0.17
20,Node_21,133,6.34,119,Solar,331,0.11
20,Node_21,133,6.34,119,Wind,542,0.17
20,Node_21,133,6.34,119,Hydro,360,0.17
20,Node_22,176,8.33,253,Solar,521,0.11
20,Node_22,176,8.33,253,Wind,522,0.17
20,Node_22,176,8.33,253,Hydro,437,0.17
20,Node_23,86,6.39,482,Solar,418,0.11
20,Node_23,86,6.39,482,Wind,369,0.17
20,Node_23,86,6.39,482,Hydro,349,0.17
20,Node_24,94,6.9,167,Solar,338,0.11
20,Node_24,94,6.9,167,Wind,510,0.17
20,Node_24,94,6.9,167,Hydro,558,0.17
20,Node_25,159,3.81,465,Solar,567,0.11
20,Node_25,159,3.81,465,Wind,400,0.17
20,Node_25,159,3.81,465,Hydro,406,0.17
20,Node_26,190,8.78,471,Solar,532,0.11
20,Node_26,190,8.78,471,Wind,485,0.17
20,Node_26,190,8.78,471,Hydro,412,0.17
20,Node_27,116,5.43,313,Solar,317,0.11
20,Node_27,116,5.43,313,Wind,431,0.17
20,Node_27,116,5.43,313,Hydro,553,0.17
20,Node_28,183,3.13,242,Solar,448,0.11
20,Node_28,183,3.13,242,Wind,410,0.17
20,Node_28,183,3.13,242,Hydro,417,0.17
20,Node_29,66,7.31,475,Solar,448,0.11
20,Node_29,66,7.31,475,Wind,431,0.17
20,Node_29,66,7.31,475,Hydro,497,0.17
20,Node_3,51,9.84,243,Solar,425,0.11
20,Node_3,51,9.84,243,Wind,319,0.17
20,Node_3,51,9.84,243,Hydro,350,0.17
20,Node_30,197,3.73,331,Solar,537,0.11
20,Node_30,197,3.73,331,Wind,323,0.17
20,Node_30,197,3.73,331,Hydro,544,0.17
20,Node_4,82,3.16,467,Solar,434,0.11
20,Node_4,82,3.16,467,Wind,526,0.17
20,Node_4,82,3.16,467,Hydro,334,0.17
20,Node_5,114,7.8,224,Solar,450,0.11
20,Node_5,114,7.8,224,Wind,453,0.17
20,Node_5,114,7.8,224,Hydro,368,0.17
20,Node_6,125,3.53,266,Solar,535,0.11
20,Node_6,125,3.53,266,Wind,592,0.17
20,Node_6,125,3.53,266,Hydro,348,0.17
20,Node_7,79,4.71,185,Solar,523,0.11
20,Node_7,79,4.71,185,Wind,529,0.17
20,Node_7,79,4.71,185,Hydro,373,0.17
20,Node_8,154,4.47,175,Solar,502,0.11
20,Node_8,154,4.47,175,Wind,501,0.17
20,Node_8,154,4.47,175,Hydro,491,0.17
20,Node_9,104,9.58,443,Solar,555,0.11
20,Node_9,104,9.58,443,Wind,337,0.17
20,Node_9,104,9.58,443,Hydro,560,0.17
21,Node_1,70,7.0,429,Solar,385,0.11
21,Node_1,70,7.0,429,Wind,559,0.17
21,Node_1,70,7.0,429,Hydro,369,0.17
21,Node_10,181,9.74,393,Solar,449,0.11
21,Node_10,181,9.74,393,Wind,487,0.17
21,Node_10,181,9.74,393,Hydro,389,0.17
21,Node_11,117,3.46,158,Solar,534,0.11
21,Node_11,117,3.46,158,Wind,356,0.17
21,Node_11,117,3.46,158,Hydro,559,0.17
21,Node_12,59,2.18,237,Solar,321,0.11
21,Node_12,59,2.18,237,Wind,319,0.17
21,Node_12,59,2.18,237,Hydro,425,0.17
21,Node_13,82,7.76,198,Solar,584,0.11
21,Node_13,82,7.76,198,Wind,572,0.17
21,Node_13,82,7.76,198,Hydro,530,0.17
21,Node_14,112,5.34,291,Solar,568,0.11
21,Node_14,112,5.34,291,Wind,418,0.17
21,Node_14,112,5.34,291,Hydro,594,0.17
21,Node_15,106,2.71,342,Solar,557,0.11
21,Node_15,106,2.71,342,Wind,370,0.17
21,Node_15,106,2.71,342,Hydro,428,0.17
21,Node_16,83,7.47,418,Solar,328,0.11
21,Node_16,83,7.47,418,Wind,303,0.17
21,Node_16,83,7.47,418,Hydro,579,0.17
21,Node_17,129,6.36,148,Solar,512,0.11
21,Node_17,129,6.36,148,Wind,520,0.17
21,Node_17,129,6.36,148,Hydro,399,0.17
21,Node_18,195,9.84,131,Solar,582,0.11
21,Node_18,195,9.84,131,Wind,313,0.17
21,Node_18,195,9.84,131,Hydro,596,0.17
21,Node_19,182,3.82,490,Solar,349,0.11
21,Node_19,182,3.82,490,Wind,302,0.17
21,Node_19,182,3.82,490,Hydro,481,0.17
21,Node_2,121,5.96,197,Solar,394,0.11
21,Node_2,121,5.96,197,Wind,515,0.17
21,Node_2,121,5.96,197,Hydro,473,0.17
21,Node_20,71,5.23,376,Solar,387,0.11
21,Node_20,71,5.23,376,Wind,528,0.17
21,Node_20,71,5.23,376,Hydro,487,0.17
21,Node_21,58,6.34,119,Solar,343,0.11
21,Node_21,58,6.34,119,Wind,485,0.17
21,Node_21,58,6.34,119,Hydro,356,0.17
21,Node_22,52,8.33,253,Solar,577,0.11
21,Node_22,52,8.33,253,Wind,354,0.17
21,Node_22,52,8.33,253,Hydro,330,0.17
21,Node_23,118,6.39,482,Solar,470,0.11
21,Node_23,118,6.39,482,Wind,553,0.17
21,Node_23,118,6.39,482,Hydro,383,0.17
21,Node_24,101,6.9,167,Solar,488,0.11
21,Node_24,101,6.9,167,Wind,323,0.17
21,Node_24,101,6.9,167,Hydro,451,0.17
21,Node_25,123,3.81,465,Solar,483,0.11
21,Node_25,123,3.81,465,Wind,461,0.17
21,Node_25,123,3.81,465,Hydro,335,0.17
21,Node_26,168,8.78,471,Solar,302,0.11
21,Node_26,168,8.78,471,Wind,457,0.17
21,Node_26,168,8.78,471,Hydro,512,0.17
21,Node_27,93,5.43,313,Solar,490,0.11
21,Node_27,93,5.43,313,Wind,381,0.17
21,Node_27,93,5.43,313,Hydro,405,0.17
21,Node_28,116,3.13,242,Solar,417,0.11
21,Node_28,116,3.13,242,Wind,458,0.17
21,Node_28,116,3.13,242,Hydro,519,0.17
21,Node_29,150,7.31,475,Solar,318,0.11
21,Node_29,150,7.31,475,Wind,487,0.17
21,Node_29,150,7.31,475,Hydro,462,0.17
21,Node_3,179,9.84,243,Solar,322,0.11
21,Node_3,179,9.84,243,Wind,359,0.17
21,Node_3,179,9.84,243,Hydro,519,0.17
21,Node_30,70,3.73,331,Solar,329,0.11
21,Node_30,70,3.73,331,Wind,510,0.17
21,Node_30,70,3.73,331,Hydro,569,0.17
21,Node_4,191,3.16,467,Solar,594,0.11
21,Node_4,191,3.16,467,Wind,451,0.17
21,Node_4,191,3.16,467,Hydro,419,0.17
21,Node_5,57,7.8,224,Solar,407,0.11
21,Node_5,57,7.8,224,Wind,408,0.17
21,Node_5,57,7.8,224,Hydro,481,0.17
21,Node_6,193,3.53,266,Solar,580,0.11
21,Node_6,193,3.53,266,Wind,375,0.17
21,Node_6,193,3.53,266,Hydro,405,0.17
21,Node_7,66,4.71,185,Solar,427,0.11
21,Node_7,66,4.71,185,Wind,329,0.17
21,Node_7,66,4.71,185,Hydro,516,0.17
21,Node_8,50,4.47,175,Solar,528,0.11
21,Node_8,50,4.47,175,Wind,416,0.17
21,Node_8,50,4.47,175,Hydro,504,0.17
21,Node_9,55,9.58,443,Solar,410,0.11
21,Node_9,55,9.58,443,Wind,491,0.17
21,Node_9,55,9.58,443,Hydro,369,0.17
22,Node_1,107,7.0,429,Solar,435,0.11
22,Node_1,107,7.0,429,Wind,318,0.17
22,Node_1,107,7.0,429,Hydro,343,0.17
22,Node_10,153,9.74,393,Solar,485,0.11
22,Node_10,153,9.74,393,Wind,472,0.17
22,Node_10,153,9.74,393,Hydro,527,0.17
22,Node_11,187,3.46,158,Solar,443,0.11
22,Node_11,187,3.46,158,Wind,527,0.17
22,Node_11,187,3.46,158,Hydro,483,0.17
22,Node_12,54,2.18,237,Solar,371,0.11
22,Node_12,54,2.18,237,Wind,482,0.17
22,Node_12,54,2.18,237,Hydro,406,0.17
22,Node_13,87,7.76,198,Solar,428,0.11
22,Node_13,87,7.76,198,Wind,412,0.17
22,Node_13,87,7.76,198,Hydro,383,0.17
22,Node_14,104,5.34,291,Solar,560,0.11
22,Node_14,104,5.34,291,Wind,482,0.17
22,Node_14,104,5.34,291,Hydro,549,0.17
22,Node_15,116,2.71,342,Solar,302,0.11
22,Node_15,116,2.71,342,Wind,445,0.17
22,Node_15,116,2.71,342,Hydro,320,0.17
22,Node_16,66,7.47,418,Solar,403,0.11
22,Node_16,66,7.47,418,Wind,415,0.17
22,Node_16,66,7.47,418,Hydro,495,0.17
22,Node_17,132,6.36,148,Solar,523,0.11
22,Node_17,132,6.36,148,Wind,412,0.17
22,Node_17,132,6.36,148,Hydro,477,0.17
22,Node_18,86,9.84,131,Solar,309,0.11
22,Node_18,86,9.84,131,Wind,550,0.17
22,Node_18,86,9.84,131,Hydro,306,0.17
22,Node_19,139,3.82,490,Solar,530,0.11
22,Node_19,139,3.82,490,Wind,550,0.17
22,Node_19,139,3.82,490,Hydro,369,0.17
22,Node_2,61,5.96,197,Solar,518,0.11
22,Node_2,61,5.96,197,Wind,417,0.17
22,Node_2,61,5.96,197,Hydro,426,0.17
22,Node_20,169,5.23,376,Solar,365,0.11
22,Node_20,169,5.23,376,Wind,460,0.17
22,Node_20,169,5.23,376,Hydro,459,0.17
22,Node_21,112,6.34,119,Solar,411,0.11
22,Node_21,112,6.34,119,Wind,497,0.17
22,Node_21,112,6.34,119,Hydro,547,0.17
22,Node_22,176,8.33,253,Solar,312,0.11
22,Node_22,176,8.33,253,Wind,559,0.17
22,Node_22,176,8.33,253,Hydro,502,0.17
22,Node_23,90,6.39,482,Solar,385,0.11
22,Node_23,90,6.39,482,Wind,447,0.17
22,Node_23,90,6.39,482,Hydro,447,0.17
22,Node_24,129,6.9,167,Solar,533,0.11
22,Node_24,129,6.9,167,Wind,539,0.17
22,Node_24,129,6.9,167,Hydro,442,0.17
22,Node_25,58,3.81,465,Solar,389,0.11
22,Node_25,58,3.81,465,Wind,346,0.17
22,Node_25,58,3.81,465,Hydro,498,0.17
22,Node_26,199,8.78,471,Solar,577,0.11
22,Node_26,199,8.78,471,Wind,353,0.17
22,Node_26,199,8.78,471,Hydro,497,0.17
22,Node_27,174,5.43,313,Solar,512,0.11
22,Node_27,174,5.43,313,Wind,311,0.17
22,Node_27,174,5.43,313,Hydro,346,0.17
22,Node_28,129,3.13,242,Solar,471,0.11
22,Node_28,129,3.13,242,Wind,508,0.17
22,Node_28,129,3.13,242,Hydro,377,0.17
22,Node_29,152,7.31,475,Solar,587,0.11
22,Node_29,152,7.31,475,Wind,313,0.17
22,Node_29,152,7.31,475,Hydro,423,0.17
22,Node_3,103,9.84,243,Solar,473,0.11
22,Node_3,103,9.84,243,Wind,420,0.17
22,Node_3,103,9.84,243,Hydro,374,0.17
22,Node_30,107,3.73,331,Solar,412,0.11
22,Node_30,107,3.73,331,Wind,319,0.17
22,Node_30,107,3.73,331,Hydro,436,0.17
22,Node_4,70,3.16,467,Solar,421,0.11
22,Node_4,70,3.16,467,Wind,374,0.17
22,Node_4,70,3.16,467,Hydro,389,0.17
22,Node_5,193,7.8,224,Solar,331,0.11
22,Node_5,193,7.8,224,Wind,542,0.17
22,Node_5,193,7.8,224,Hydro,360,0.17
22,Node_6,135,3.53,266,Solar,521,0.11
22,Node_6,135,3.53,266,Wind,522,0.17
22,Node_6,135,3.53,266,Hydro,437,0.17
22,Node_7,162,4.71,185,Solar,418,0.11
22,Node_7,162,4.71,185,Wind,369,0.17
22,Node_7,162,4.71,185,Hydro,349,0.17
22,Node_8,180,4.47,175,Solar,338,0.11
22,Node_8,180,4.47,175,Wind,510,0.17
22,Node_8,180,4.47,175,Hydro,558,0.17
22,Node_9,144,9.58,443,Solar,567,0.11
22,Node_9,144,9.58,443,Wind,400,0.17
22,Node_9,144,9.58,443,Hydro,406,0.17
23,Node_1,71,7.0,429,Solar,532,0.11
23,Node_1,71,7.0,429,Wind,485,0.17
23,Node_1,71,7.0,429,Hydro,412,0.17
23,Node_10,181,9.74,393,Solar,317,0.11
23,Node_10,181,9.74,393,Wind,431,0.17
23,Node_10,181,9.74,393,Hydro,553,0.17
23,Node_11,116,3.46,158,Solar,448,0.11
23,Node_11,116,3.46,158,Wind,410,0.17
23,Node_11,116,3.46,158,Hydro,417,0.17
23,Node_12,187,2.18,237,Solar,448,0.11
23,Node_12,187,2.18,237,Wind,431,0.17
23,Node_12,187,2.18,237,Hydro,497,0.17
23,Node_13,146,7.76,198,Solar,425,0.11
23,Node_13,146,7.76,198,Wind,319,0.17
23,Node_13,146,7.76,198,Hydro,350,0.17
23,Node_14,164,5.34,291,Solar,537,0.11
23,Node_14,164,5.34,291,Wind,323,0.17
23,Node_14,164,5.34,291,Hydro,544,0.17
23,Node_15,121,2.71,342,Solar,434,0.11
23,Node_15,121,2.71,342,Wind,526,0.17
23,Node_15,121,2.71,342,Hydro,334,0.17
23,Node_16,171,7.47,418,Solar,450,0.11
23,Node_16,171,7.47,418,Wind,453,0.17
23,Node_16,171,7.47,418,Hydro,368,0.17
23,Node_17,57,6.36,148,Solar,535,0.11
23,Node_17,57,6.36,148,Wind,592,0.17
23,Node_17,57,6.36,148,Hydro,348,0.17
23,Node_18,122,9.84,131,Solar,523,0.11
23,Node_18,122,9.84,131,Wind,529,0.17
23,Node_18,122,9.84,131,Hydro,373,0.17
23,Node_19,195,3.82,490,Solar,502,0.11
23,Node_19,195,3.82,490,Wind,501,0.17
23,Node_19,195,3.82,490,Hydro,491,0.17
23,Node_2,82,5.96,197,Solar,555,0.11
23,Node_2,82,5.96,197,Wind,337,0.17
23,Node_2,82,5.96,197,Hydro,560,0.17
23,Node_20,99,5.23,376,Solar,385,0.11
23,Node_20,99,5.23,376,Wind,559,0.17
23,Node_20,99,5.23,376,Hydro,369,0.17
23,Node_21,166,6.34,119,Solar,449,0.11
23,Node_21,166,6.34,119,Wind,487,0.17
23,Node_21,166,6.34,119,Hydro,389,0.17
23,Node_22,90,8.33,253,Solar,534,0.11
23,Node_22,90,8.33,253,Wind,356,0.17
23,Node_22,90,8.33,253,Hydro,559,0.17
23,Node_23,111,6.39,482,Solar,321,0.11
23,Node_23,111,6.39,482,Wind,319,0.17
23,Node_23,111,6.39,482,Hydro,425,0.17
23,Node_24,173,6.9,167,Solar,584,0.11
23,Node_24,173,6.9,167,Wind,572,0.17
23,Node_24,173,6.9,167,Hydro,530,0.17
23,Node_25,52,3.81,465,Solar,568,0.11
23,Node_25,52,3.81,465,Wind,418,0.17
23,Node_25,52,3.81,465,Hydro,594,0.17
23,Node_26,167,8.78,471,Solar,557,0.11
23,Node_26,167,8.78,471,Wind,370,0.17
23,Node_26,167,8.78,471,Hydro,428,0.17
23,Node_27,107,5.43,313,Solar,328,0.11
23,Node_27,107,5.43,313,Wind,303,0.17
23,Node_27,107,5.43,313,Hydro,579,0.17
23,Node_28,56,3.13,242,Solar,512,0.11
23,Node_28,56,3.13,242,Wind,520,0.17
23,Node_28,56,3.13,242,Hydro,399,0.17
23,Node_29,173,7.31,475,Solar,582,0.11
23,Node_29,173,7.31,475,Wind,313,0.17
23,Node_29,173,7.31,475,Hydro,596,0.17
23,Node_3,136,9.84,243,Solar,349,0.11
23,Node_3,136,9.84,243,Wind,302,0.17
23,Node_3,136,9.84,243,Hydro,481,0.17
23,Node_30,159,3.73,331,Solar,394,0.11
23,Node_30,159,3.73,331,Wind,515,0.17
23,Node_30,159,3.73,331,Hydro,473,0.17
23,Node_4,97,3.16,467,Solar,387,0.11
23,Node_4,97,3.16,467,Wind,528,0.17
23,Node_4,97,3.16,467,Hydro,487,0.17
23,Node_5,191,7.8,224,Solar,343,0.11
23,Node_5,191,7.8,224,Wind,485,0.17
23,Node_5,191,7.8,224,Hydro,356,0.17
23,Node_6,78,3.53,266,Solar,577,0.11
23,Node_6,78,3.53,266,Wind,354,0.17
23,Node_6,78,3.53,266,Hydro,330,0.17
23,Node_7,111,4.71,185,Solar,470,0.11
23,Node_7,111,4.71,185,Wind,553,0.17
23,Node_7,111,4.71,185,Hydro,383,0.17
23,Node_8,141,4.47,175,Solar,488,0.11
23,Node_8,141,4.47,175,Wind,323,0.17
23,Node_8,141,4.47,175,Hydro,451,0.17
23,Node_9,182,9.58,443,Solar,483,0.11
23,Node_9,182,9.58,443,Wind,461,0.17
23,Node_9,182,9.58,443,Hydro,335,0.17
24,Node_1,138,7.0,429,Solar,302,0.11
24,Node_1,138,7.0,429,Wind,457,0.17
24,Node_1,138,7.0,429,Hydro,512,0.17
24,Node_10,74,9.74,393,Solar,490,0.11
24,Node_10,74,9.74,393,Wind,381,0.17
24,Node_10,74,9.74,393,Hydro,405,0.17
24,Node_11,158,3.46,158,Solar,417,0.11
24,Node_11,158,3.46,158,Wind,458,0.17
24,Node_11,158,3.46,158,Hydro,519,0.17
24,Node_12,179,2.18,237,Solar,318,0.11
24,Node_12,179,2.18,237,Wind,487,0.17
24,Node_12,179,2.18,237,Hydro,462,0.17
24,Node_13,82,7.76,198,Solar,322,0.11
24,Node_13,82,7.76,198,Wind,359,0.17
24,Node_13,82,7.76,198,Hydro,519,0.17
24,Node_14,192,5.34,291,Solar,329,0.11
24,Node_14,192,5.34,291,Wind,510,0.17
24,Node_14,192,5.34,291,Hydro,569,0.17
24,Node_15,103,2.71,342,Solar,594,0.11
24,Node_15,103,2.71,342,Wind,451,0.17
24,Node_15,103,2.71,342,Hydro,419,0.17
24,Node_16,125,7.47,418,Solar,407,0.11
24,Node_16,125,7.47,418,Wind,408,0.17
24,Node_16,125,7.47,418,Hydro,481,0.17
24,Node_17,198,6.36,148,Solar,580,0.11
24,Node_17,198,6.36,148,Wind,375,0.17
24,Node_17,198,6.36,148,Hydro,405,0.17
24,Node_18,192,9.84,131,Solar,427,0.11
24,Node_18,192,9.84,131,Wind,329,0.17
24,Node_18,192,9.84,131,Hydro,516,0.17
24,Node_19,86,3.82,490,Solar,528,0.11
24,Node_19,86,3.82,490,Wind,416,0.17
24,Node_19,86,3.82,490,Hydro,504,0.17
24,Node_2,97,5.96,197,Solar,410,0.11
24,Node_2,97,5.96,197,Wind,491,0.17
